rep,t,k,w_0,w_1,w_2,h,R
9.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,29602.0
9.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,33507.0
9.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,35567.0
9.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,36984.0
9.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17016.0
9.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23015.0
9.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25549.0
9.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,27152.0
9.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,35822.0
9.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29607.0
9.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,30805.0
9.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31841.0
9.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,35446.0
9.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,34969.0
10.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
10.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
10.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
10.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
10.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
10.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
10.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
10.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
10.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
10.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
10.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16436.0
10.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22779.0
10.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,23730.0
10.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,26301.0
10.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36666.0
10.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,29344.0
10.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,30026.0
