state_code,county_code,county_sub_code,cntyname,town_name,areaname22,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,cbsasub22,pop2017
23,019,36325,Penobscot County,Kenduskeag town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,1140
23,019,45670,Penobscot County,Milford town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,3000
23,019,55225,Penobscot County,Old Town city,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,7595
23,019,55565,Penobscot County,Orono town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,10915
23,019,55680,Penobscot County,Orrington town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,3675
23,019,57936,Penobscot County,Penobscot Indian Island Reservation,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,785
23,019,78780,Penobscot County,Veazie town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,1960
23,019,01115,Penobscot County,Alton town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,950
23,019,01500,Penobscot County,Argyle UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,195
23,019,06575,Penobscot County,Bradford town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1105
23,019,06680,Penobscot County,Bradley town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1480
23,019,09200,Penobscot County,Burlington town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,255
23,019,10670,Penobscot County,Carmel town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,2790
23,019,10810,Penobscot County,Carroll plantation,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,135
23,019,12105,Penobscot County,Charleston town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1470
23,019,12525,Penobscot County,Chester town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,545
23,019,13365,Penobscot County,Clifton town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,730
23,019,14310,Penobscot County,Corinna town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1920
23,019,14380,Penobscot County,Corinth town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,2840
23,019,17530,Penobscot County,Dexter town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,3765
23,019,17950,Penobscot County,Dixmont town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1270
23,019,18580,Penobscot County,Drew plantation,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,25
23,019,19868,Penobscot County,East Central Penobscot UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,210
23,019,21030,Penobscot County,East Millinocket town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1785
23,019,22710,Penobscot County,Edinburg town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,120
23,019,23620,Penobscot County,Enfield town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1530
23,019,23865,Penobscot County,Etna town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1140
23,019,24110,Penobscot County,Exeter town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1060
23,019,27190,Penobscot County,Garland town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1235
23,019,29185,Penobscot County,Greenbush town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1390
23,019,34190,Penobscot County,Howland town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1205
23,019,34365,Penobscot County,Hudson town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1690
23,019,37075,Penobscot County,Kingman UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,90
23,019,37760,Penobscot County,Lagrange town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,640
23,019,38005,Penobscot County,Lakeville town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,90
23,019,38530,Penobscot County,Lee town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,945
23,019,38705,Penobscot County,Levant town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,2940
23,019,39475,Penobscot County,Lincoln town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,4985
23,019,41435,Penobscot County,Lowell town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,360
23,019,44270,Penobscot County,Mattawamkeag town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,855
23,019,44340,Penobscot County,Maxfield town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,130
23,019,45005,Penobscot County,Medway town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1100
23,019,45810,Penobscot County,Millinocket town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,4345
23,019,47560,Penobscot County,Mount Chase town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,210
23,019,48505,Penobscot County,Newburgh town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1575
23,019,49065,Penobscot County,Newport town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,3250
23,019,52710,Penobscot County,North Penobscot UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,400
23,019,57045,Penobscot County,Passadumkeag town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,480
23,019,57150,Penobscot County,Patten town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,890
23,019,59950,Penobscot County,Plymouth town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1290
23,019,60790,Penobscot County,Prentiss UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,275
23,019,67160,Penobscot County,Seboeis plantation,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,55
23,019,73250,Penobscot County,Springfield town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,365
23,019,73600,Penobscot County,Stacyville town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,425
23,019,74055,Penobscot County,Stetson town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,1460
23,019,78015,Penobscot County,Twombly UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,0
23,019,81055,Penobscot County,Webster plantation,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,70
23,019,85230,Penobscot County,Whitney UT,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,0
23,019,86305,Penobscot County,Winn town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,560
23,019,87390,Penobscot County,Woodville town,"Penobscot County, ME (part) HUD Metro FMR Area",705,770,1013,1256,1374,METRO12620N23019,270
25,001,03690,Barnstable County,Barnstable Town city,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,44325
25,001,07175,Barnstable County,Bourne town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,19815
25,001,07980,Barnstable County,Brewster town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,9855
25,001,12995,Barnstable County,Chatham town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,6150
25,001,16775,Barnstable County,Dennis town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,13990
25,001,19295,Barnstable County,Eastham town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,4910
25,001,23105,Barnstable County,Falmouth town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,31255
25,001,29020,Barnstable County,Harwich town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,12145
25,001,39100,Barnstable County,Mashpee town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,14055
25,001,51440,Barnstable County,Orleans town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,5825
25,001,55500,Barnstable County,Provincetown town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,2950
25,001,59735,Barnstable County,Sandwich town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,20415
25,001,70605,Barnstable County,Truro town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,1580
25,001,74385,Barnstable County,Wellfleet town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,3170
25,001,82525,Barnstable County,Yarmouth town,"Barnstable Town, MA MSA",1319,1509,1985,2454,2692,METRO12700M12700,23460
22,005,99999,Ascension Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,119130
22,033,99999,East Baton Rouge Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,446165
22,037,99999,East Feliciana Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,19555
22,063,99999,Livingston Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,137095
22,077,99999,Pointe Coupee Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,22270
22,091,99999,St. Helena Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,10510
22,121,99999,West Baton Rouge Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,25520
22,125,99999,West Feliciana Parish,,"Baton Rouge, LA HUD Metro FMR Area",799,838,985,1246,1554,METRO12940M12940,15375
22,007,99999,Assumption Parish,,"Assumption Parish, LA HUD Metro FMR Area",652,702,800,1105,1256,METRO12940M22007,22880
22,047,99999,Iberville Parish,,"Iberville Parish, LA HUD Metro FMR Area",639,661,785,1075,1135,METRO12940N22047,33120
26,025,99999,Calhoun County,,"Battle Creek, MI MSA",646,718,902,1170,1269,METRO12980M12980,134325
26,017,99999,Bay County,,"Bay City, MI MSA",573,671,863,1132,1227,METRO13020M13020,105350
48,199,99999,Hardin County,,"Beaumont-Port Arthur, TX MSA",791,844,1039,1356,1409,METRO13140M13140,55995
48,245,99999,Jefferson County,,"Beaumont-Port Arthur, TX MSA",791,844,1039,1356,1409,METRO13140M13140,254575
48,361,99999,Orange County,,"Beaumont-Port Arthur, TX MSA",791,844,1039,1356,1409,METRO13140M13140,83910
54,019,99999,Fayette County,,"Fayette County, WV HUD Metro FMR Area",542,613,763,1046,1098,METRO13220N54019,44600
54,081,99999,Raleigh County,,"Raleigh County, WV HUD Metro FMR Area",640,672,797,1132,1357,METRO13220N54081,77095
53,073,99999,Whatcom County,,"Bellingham, WA MSA",995,1069,1347,1913,2306,METRO13380M13380,212740
41,017,99999,Deschutes County,,"Bend-Redmond, OR MSA",936,1134,1409,2001,2412,METRO13460M13460,175320
30,009,99999,Carbon County,,"Billings, MT HUD Metro FMR Area",687,777,1022,1399,1643,METRO13740M13740,10465
